UserQuery,RequirementIndex
Implement a downgrade mechanism to ensure media security policy compliance,Employ media downgrade mechanisms to ensure adherence to security policy
Develop a system to enforce media classification rules and security downgrade mechanisms,Employ media downgrade mechanisms to ensure adherence to security policy
Develop a system feature to block installation and execution of unauthorized software,Implement mechanisms to prevent use of unauthorized software in systems
Implement an allowlist mechanism to restrict execution of unauthorized applications,Implement mechanisms to prevent use of unauthorized software in systems
Disable unnecessary system features and services to reduce attack surface,Employ mechanism to disable unnecessary features in system to improve security
Implement security policies to restrict access to unused system functionalities,Employ mechanism to disable unnecessary features in system to improve security
Prohibit direct system connections without using boundary security devices,Employ mechanisms to prohibit direct connection without boundary protection device
Enforce security measures to prevent unauthorized direct network connections,Employ mechanisms to prohibit direct connection without boundary protection device
Enable network traffic monitoring and encryption to detect and block malicious packets,Configure monitoring of network and encrypt communication traffic to restrict malicious network packets
Implement deep packet inspection to filter and secure network traffic,Configure monitoring of network and encrypt communication traffic to restrict malicious network packets
Deploy a firewall or intrusion detection system to monitor and control network communication,"Employ barrier device to monitor, control and protect communication over a network"
Implement a security gateway to inspect and filter network traffic for threats,"Employ barrier device to monitor, control and protect communication over a network"
Secure cardholder data transmission with encrypted communication channels,Configure control networks and implement secure communication channels for cardholder data environment
Implement network segmentation to isolate and secure cardholder data,Configure control networks and implement secure communication channels for cardholder data environment
Enforce network security controls to prevent unauthorized access to critical systems,Implement network controls and employ mechanism to secure network connections
Implement a zero-trust architecture to secure network connections,Implement network controls and employ mechanism to secure network connections
Use host-based firewalls to block unauthorized access to applications and services,Implement host-based boundary mechanisms to protect applications from attacks
Implement endpoint protection measures to prevent application-layer attacks,Implement host-based boundary mechanisms to protect applications from attacks
Route all network traffic through a managed security interface to prevent intrusions,Route network access through managed interface to prevent attacks
Deploy network access control mechanisms to restrict and monitor inbound/outbound traffic,Route network access through managed interface to prevent attacks
Conduct covert channel analysis to detect and eliminate unauthorized data exfiltration paths,Perform covert channel analysis to eliminate covert channels
Implement security mechanisms to prevent hidden communication channels in network traffic,Perform covert channel analysis to eliminate covert channels
